,fielder,fielderpresumoverall2008,fielderpresumoverall2009,fielderpresumoverall2010,fielderpresumoverall2011,fielderpresumoverall2012,fielderpresumoverall2013,fielderpresumoverall2014,fielderpresumoverall2015,fielderpresumoverall2016
193,SD Chitnis,120,220,220,320,440,440,440,440,440
194,DE Bollinger,0,0,140,280,440,440,440,440,440
195,Azhar Mahmood,0,0,0,0,220,340,340,440,440
196,R McLaren,0,0,160,300,300,420,420,420,420
197,BAW Mendis,100,220,320,320,320,420,420,420,420
198,JJ Bumrah,0,0,0,0,0,100,200,300,420
199,IC Pandey,0,0,0,0,0,100,280,420,420
200,ST Jayasuriya,160,300,420,420,420,420,420,420,420
201,PV Tambe,0,0,0,0,0,100,200,300,420
202,MF Maharoof,180,280,400,400,400,400,400,400,400
203,Kamran Khan,0,200,300,400,400,400,400,400,400
204,Mohammed Shami,0,0,0,0,0,120,260,260,400
205,Sandeep Sharma,0,0,0,0,0,0,120,260,400
206,Anureet Singh,0,100,100,100,100,100,100,300,400
207,P Awana,0,0,0,0,180,300,400,400,400
208,R Shukla,0,0,0,0,100,240,400,400,400
209,P Dogra,0,0,160,160,280,400,400,400,400
210,AL Menaria,0,0,0,140,280,380,380,380,380
211,Anand Rajan,0,0,0,160,260,380,380,380,380
212,RS Bopara,0,120,260,260,260,260,260,380,380
213,N Saini,0,0,0,0,380,380,380,380,380
214,KW Richardson,0,0,0,0,0,100,240,240,380
215,KP Appanna,0,100,220,220,380,380,380,380,380
216,JO Holder,0,0,0,0,0,160,280,280,380
217,CA Lynn,0,0,0,0,120,120,260,260,380
218,J Theron,0,0,160,160,260,260,260,360,360
219,SS Iyer,0,0,0,0,0,0,0,140,360
220,AA Chavan,0,0,0,120,260,360,360,360,360
221,GH Vihari,0,0,0,0,0,200,200,360,360
222,SB Styris,120,220,220,360,360,360,360,360,360
223,Imran Tahir,0,0,0,0,0,0,100,260,360
224,VRV Singh,120,260,360,360,360,360,360,360,360
225,J Suchith,0,0,0,0,0,0,0,240,340
226,S Sohal,100,240,240,340,340,340,340,340,340
227,DJ Hooda,0,0,0,0,0,0,0,140,340
228,KS Williamson,0,0,0,0,0,0,0,140,340
229,A Singh,0,100,100,200,320,320,320,320,320
230,NK Patel,140,320,320,320,320,320,320,320,320
231,P Suyal,0,0,0,0,0,120,220,320,320
232,FY Fazal,0,0,220,320,320,320,320,320,320
233,J Syed Mohammad,0,0,0,120,220,320,320,320,320
234,JEC Franklin,0,0,0,140,320,320,320,320,320
235,TA Boult,0,0,0,0,0,0,0,180,320
236,WPUJC Vaas,100,200,320,320,320,320,320,320,320
237,MD Mishra,0,0,120,220,320,320,320,320,320
238,CJ Anderson,0,0,0,0,0,0,200,320,320
239,DJ Jacobs,0,0,0,180,300,300,300,300,300
240,CK Langeveldt,0,100,200,300,300,300,300,300,300
241,WA Mota,140,300,300,300,300,300,300,300,300
242,D Wiese,0,0,0,0,0,0,0,180,300
243,M de Lange,0,0,0,0,100,100,200,300,300
244,W Jaffer,180,300,300,300,300,300,300,300,300
245,BA Bhatt,0,0,0,100,200,300,300,300,300
246,MJ Lumb,0,0,180,300,300,300,300,300,300
247,S Gopal,0,0,0,0,0,0,100,200,300
248,RT Ponting,140,140,140,140,140,280,280,280,280
249,AC Blizzard,0,0,0,180,280,280,280,280,280
250,LJ Wright,0,0,0,0,120,280,280,280,280
251,SB Bangar,180,280,280,280,280,280,280,280,280
252,RR Raje,140,280,280,280,280,280,280,280,280
253,BB Samantray,0,0,0,0,100,280,280,280,280
254,L Ronchi,160,280,280,280,280,280,280,280,280
255,Kamran Akmal,280,280,280,280,280,280,280,280,280
256,Sachin Baby,0,0,0,0,0,140,140,140,280
257,TM Srivastava,180,280,280,280,280,280,280,280,280
258,RV Gomez,0,0,0,140,140,280,280,280,280
259,AC Thomas,0,0,0,140,280,280,280,280,280
260,SM Katich,100,280,280,280,280,280,280,280,280
261,JR Hopes,140,140,140,280,280,280,280,280,280
262,A Mukund,160,160,160,160,160,260,260,260,260
263,S Tyagi,0,120,260,260,260,260,260,260,260
264,BCJ Cutting,0,0,0,0,0,0,140,140,260
265,A Chopra,140,260,260,260,260,260,260,260,260
266,KMDN Kulasekara,0,0,0,100,260,260,260,260,260
267,AUK Pathan,0,0,0,160,260,260,260,260,260
268,Karanveer Singh,0,0,0,0,0,0,120,260,260
269,BE Hendricks,0,0,0,0,0,0,120,260,260
270,PA Reddy,0,0,0,0,100,260,260,260,260
271,R Rampaul,0,0,0,0,0,160,260,260,260
272,T Thushara,0,120,260,260,260,260,260,260,260
273,S Rana,0,0,0,100,100,100,260,260,260
274,A Chandila,0,0,0,0,120,240,240,240,240
275,SJ Srivastava,0,0,120,240,240,240,240,240,240
276,AG Paunikar,0,0,100,240,240,240,240,240,240
277,JC Buttler,0,0,0,0,0,0,0,0,240
278,KC Cariappa,0,0,0,0,0,0,0,100,240
279,RR Rossouw,0,0,0,0,0,0,100,240,240
280,AM Salvi,0,120,120,240,240,240,240,240,240
281,IR Jaggi,0,0,0,120,240,240,240,240,240
282,CRD Fernando,120,120,240,240,240,240,240,240,240
283,Harpreet Singh,0,0,0,140,240,240,240,240,240
284,CJ Ferguson,0,0,0,120,240,240,240,240,240
285,MN van Wyk,0,240,240,240,240,240,240,240,240
286,S Narwal,0,0,140,140,140,240,240,240,240
287,J Yadav,0,0,0,0,0,0,0,120,240
288,SB Wagh,0,0,100,240,240,240,240,240,240
289,R Tewatia,0,0,0,0,0,0,100,220,220
290,SN Khan,0,0,0,0,0,0,0,120,220
291,Shivam Sharma,0,0,0,0,0,0,120,220,220
292,AS Rajpoot,0,0,0,0,0,100,100,100,220
293,NJ Maddinson,0,0,0,0,0,0,120,220,220
294,T Kohli,120,220,220,220,220,220,220,220,220
295,BW Hilfenhaus,0,0,0,0,100,100,220,220,220
296,K Upadhyay,0,0,0,0,100,220,220,220,220
297,MJ McClenaghan,0,0,0,0,0,0,0,120,220
298,S Kaul,0,0,0,0,0,120,220,220,220
299,MN Samuels,0,0,0,0,100,220,220,220,220
300,AA Bilakhia,0,100,220,220,220,220,220,220,220
301,PJ Cummins,0,0,0,0,0,0,100,220,220
302,Jaskaran Singh,0,100,200,200,200,200,200,200,200
303,ND Doshi,0,0,100,200,200,200,200,200,200
304,P Parameswaran,0,0,0,100,200,200,200,200,200
305,S Sriram,0,0,100,200,200,200,200,200,200
306,S Badree,0,0,0,0,0,100,200,200,200
307,Sohail Tanvir,200,200,200,200,200,200,200,200,200
308,L Ablish,0,0,100,200,200,200,200,200,200
309,JW Hastings,0,0,0,0,0,0,100,100,200
310,YA Abdulla,0,100,200,200,200,200,200,200,200
311,BJ Rohrer,0,0,0,0,0,200,200,200,200
312,LA Carseldine,0,180,180,180,180,180,180,180,180
313,LPC Silva,180,180,180,180,180,180,180,180,180
314,CR Brathwaite,0,0,0,0,0,0,0,0,180
315,BB Sran,0,0,0,0,0,0,0,0,180
316,B Sumanth,0,0,180,180,180,180,180,180,180
317,SW Billings,0,0,0,0,0,0,0,0,180
318,Shoaib Malik,180,180,180,180,180,180,180,180,180
319,Shoaib Ahmed,0,180,180,180,180,180,180,180,180
320,CK Kapugedera,180,180,180,180,180,180,180,180,180
321,AC Voges,0,0,180,180,180,180,180,180,180
322,Shahid Afridi,180,180,180,180,180,180,180,180,180
323,A Flintoff,0,160,160,160,160,160,160,160,160
324,BMAJ Mendis,0,0,0,0,0,160,160,160,160
325,M Ntini,160,160,160,160,160,160,160,160,160
326,RR Pant,0,0,0,0,0,0,0,0,160
327,PD Collingwood,0,0,160,160,160,160,160,160,160
328,Anirudh Singh,0,0,160,160,160,160,160,160,160
329,S Randiv,0,0,0,160,160,160,160,160,160
330,U Kaul,160,160,160,160,160,160,160,160,160
331,Yashpal Singh,0,160,160,160,160,160,160,160,160
332,BR Dunk,0,0,0,0,0,0,160,160,160
333,CJ Jordan,0,0,0,0,0,0,0,0,160
334,Mohammad Hafeez,140,140,140,140,140,140,140,140,140
335,RS Sodhi,0,0,140,140,140,140,140,140,140
336,DJ Thornely,140,140,140,140,140,140,140,140,140
337,KH Pandya,0,0,0,0,0,0,0,0,140
338,ER Dwivedi,0,0,0,0,0,0,0,0,140
339,SS Shaikh,0,140,140,140,140,140,140,140,140
340,C Munro,0,0,0,0,0,0,0,0,140
341,DJ Harris,0,0,0,0,140,140,140,140,140
342,DT Patil,140,140,140,140,140,140,140,140,140
343,GD McGrath,140,140,140,140,140,140,140,140,140
344,SMSM Senanayake,0,0,0,0,0,140,140,140,140
345,B Geeves,140,140,140,140,140,140,140,140,140
346,P Amarnath,140,140,140,140,140,140,140,140,140
347,DAJ Bracewell,0,0,0,0,140,140,140,140,140
348,SP Fleming,140,140,140,140,140,140,140,140,140
349,NS Naik,0,0,0,0,0,0,0,0,140
350,RJ Quiney,0,140,140,140,140,140,140,140,140
351,AS Yadav,140,140,140,140,140,140,140,140,140
352,AP Dole,0,0,140,140,140,140,140,140,140
353,RE Levi,0,0,0,0,140,140,140,140,140
354,SM Pollock,140,140,140,140,140,140,140,140,140
355,D Salunkhe,140,140,140,140,140,140,140,140,140
