,bowler,bowlerpresumoverall2008,bowlerpresumoverall2009,bowlerpresumoverall2010,bowlerpresumoverall2011,bowlerpresumoverall2012,bowlerpresumoverall2013,bowlerpresumoverall2014,bowlerpresumoverall2015,bowlerpresumoverall2016
232,HH Pandya,0,0,0,0,0,0,0,0,0
233,K Goel,0,0,0,0,0,0,0,0,0
234,Mashrafe Mortaza,0,0,0,0,0,0,0,0,0
235,RW Price,0,0,0,0,0,0,0,0,0
236,Swapnil Singh,0,0,0,0,0,0,0,0,0
237,A Nel,0,0,0,0,0,0,0,0,0
238,DJ Harris,0,0,0,0,0,0,0,0,0
239,K Santokie,0,0,0,0,0,0,0,0,0
240,S Dhawan,0,0,0,0,0,0,0,0,0
241,GJ Maxwell,0,0,0,0,0,0,0,0,0
242,SB Joshi,0,0,0,0,0,0,0,0,0
243,B Laughlin,0,0,0,0,0,0,0,0,0
244,LJ Wright,0,0,0,0,0,0,0,0,0
245,AUK Pathan,0,0,0,0,0,0,0,0,0
246,B Brainder Sran,0,0,0,0,0,0,0,0,0
247,KJ Abbott,0,0,0,0,0,0,0,0,0
248,D Kalyankrishna,0,0,0,0,0,0,0,0,0
249,MA Khote,0,0,0,0,0,0,0,0,0
250,R Sathish,0,0,0,0,0,0,0,0,0
251,SB Bangar,0,0,0,0,0,0,0,0,0
252,I Malhotra,0,0,0,0,0,0,0,0,0
253,S Sriram,0,0,0,0,0,0,0,0,0
254,Gagandeep Singh,0,0,0,0,0,0,0,0,0
255,R Ninan,0,0,0,0,0,0,0,0,0
256,S Badree,0,0,0,0,0,0,0,0,0
257,B Geeves,0,0,0,0,0,0,0,0,0
258,MJ Clarke,0,0,0,0,0,0,0,0,0
259,T Henderson,0,0,0,0,0,0,0,0,0
260,LRPL Taylor,0,0,0,0,0,0,0,0,0
261,P Amarnath,0,0,0,0,0,0,0,0,0
262,LMP Simmons,0,0,0,0,0,0,0,0,0
263,KC Cariappa,0,0,0,0,0,0,0,0,0
264,Shivam Sharma,0,0,0,0,0,0,0,0,0
265,RR Bose,0,0,0,0,0,0,0,0,0
266,AA Noffke,0,0,0,0,0,0,0,0,0
267,M de Lange,0,0,0,0,0,0,0,0,0
268,CL White,0,0,0,0,0,0,0,0,0
269,AS Rajpoot,0,0,0,0,0,0,0,0,0
270,DAJ Bracewell,0,0,0,0,0,0,0,0,0
