,fielder,overall,ratings
85,Y Gnaneswara Rao,140,2
84,MN van Wyk,240,7
83,S Rana,160,3
82,JP Faulkner,440,17
81,Ishan Kishan,120,1
80,MJ Guptill,100,0
79,TM Srivastava,180,4
78,Mandeep Singh,560,23
77,KS Williamson,240,7
76,R Bishnoi,120,1
75,S Narwal,140,2
74,Sunny Gupta,100,0
73,VRV Singh,160,3
72,UT Khawaja,120,1
71,A Symonds,520,21
70,DB Ravi Teja,360,13
69,VY Mahesh,220,6
68,KP Appanna,180,4
67,S Ladda,160,3
66,J Yadav,140,2
65,Younis Khan,120,1
64,Mohammad Ashraful,140,2
63,JDP Oram,260,8
62,MS Wade,100,0
61,KAJ Roach,120,1
60,RV Gomez,180,4
59,AG Murtaza,180,4
58,F du Plessis,760,33
57,Salman Butt,140,2
56,SB Wagh,140,2
55,KK Nair,340,12
54,DW Steyn,620,26
53,JA Morkel,520,21
52,AC Thomas,180,4
51,RR Bhatkal,120,1
50,MS Dhoni,2320,111
49,B Chipli,160,3
48,RJ Harris,460,18
47,BR Dunk,160,3
46,ST Jayasuriya,220,6
45,Mohammad Asif,100,0
44,DT Christian,380,14
43,CH Morris,460,18
42,PP Chawla,760,33
41,CK Kapugedera,180,4
40,YA Abdulla,100,0
39,MD Mishra,120,1
38,JO Holder,200,5
37,Abdur Razzak,100,0
36,A Mithun,260,8
35,S Kaushik,100,0
34,CA Pujara,220,6
33,JDS Neesham,100,0
32,CA Lynn,180,4
31,P Kumar,440,17
30,MM Patel,360,13
29,JP Duminy,680,29
28,AC Voges,180,4
27,PJ Cummins,120,1
26,SC Ganguly,560,23
25,SR Tendulkar,620,26
24,PV Tambe,120,1
23,JJ van der Wath,100,0
22,TD Paine,100,0
21,R Shukla,200,5
20,CJ Anderson,220,6
19,VH Zol,100,0
18,HM Amla,100,0
17,PA Patel,1600,75
16,WP Saha,1280,59
15,MV Boucher,460,18
14,PR Shah,380,14
13,M Klinger,100,0
12,AC Gilchrist,1600,75
11,Z Khan,500,20
10,SM Katich,180,4
9,Shoaib Akhtar,100,0
8,P Dogra,200,5
7,BJ Rohrer,200,5
6,JR Hopes,200,5
5,AT Rayudu,1140,52
4,MC Juneja,100,0
3,S Gopal,100,0
2,CJ Jordan,160,3
1,Shahid Afridi,180,4
0,MG Johnson,420,16
