,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
366,MS Wade,186,15,14,4,0,0,0,66.67
367,YS Chahal,184,1,2,0,0,0,0,66.67
368,SB Wagh,182,2,0,1,0,0,0,66.67
369,S Sreesanth,182,43,6,2,0,6,0,59.65
370,SM Harwood,178,7,5,2,0,0,0,64.29
371,T Thushara,175,10,6,3,0,0,0,63.16
372,JJ Bumrah,174,9,5,0,0,1,0,60.0
373,Anureet Singh,172,18,12,0,0,0,1,58.06
374,Kamran Khan,169,3,1,1,0,0,0,60.0
375,SMSM Senanayake,168,8,8,1,0,0,0,58.82
376,M Ntini,168,15,1,1,0,2,0,57.89
377,X Thalaivan Sargunam,166,9,6,2,0,0,0,58.82
378,Pankaj Singh,166,6,5,1,0,0,0,58.33
379,A Uniyal,165,3,4,0,0,0,0,57.14
380,A Chandila,165,3,4,0,0,0,0,57.14
381,T Kohli,163,14,5,0,0,0,1,55.0
382,VY Mahesh,155,15,11,2,0,0,0,53.57
383,CJ McKay,155,8,6,1,0,0,0,53.33
384,S Gopal,155,16,10,0,0,1,0,51.85
385,SE Bond,150,1,1,0,0,0,0,50.0
386,Mohammad Asif,150,3,3,0,0,0,0,50.0
387,J Yadav,150,6,6,0,0,0,0,50.0
388,BAW Mendis,150,3,3,0,0,0,0,50.0
389,PM Sarvesh Kumar,150,1,1,0,0,0,0,50.0
390,R Ninan,150,3,3,0,0,0,0,50.0
391,PSP Handscomb,150,6,6,0,0,0,0,50.0
392,M de Lange,150,1,1,0,0,0,0,50.0
393,KP Appanna,150,2,2,0,0,0,0,50.0
394,S Randiv,148,3,0,1,0,0,0,50.0
395,UA Birla,143,11,3,0,0,1,0,46.67
396,PV Tambe,140,24,14,0,0,1,0,46.15
397,B Laughlin,137,5,4,0,0,0,0,44.44
398,Mohammed Shami,136,13,8,1,0,0,0,45.45
399,AB Dinda,135,27,13,1,0,1,0,45.24
400,Younis Khan,134,4,3,0,0,0,0,42.86
401,H Das,129,3,2,0,0,0,0,40.0
402,D Kalyankrishna,123,5,3,0,0,0,0,37.5
403,JD Unadkat,123,5,3,0,0,0,0,37.5
404,SB Joshi,121,10,6,0,0,0,0,37.5
405,P Awana,117,9,5,0,0,0,0,35.71
406,BE Hendricks,115,2,1,0,0,0,0,33.33
407,P Parameswaran,115,2,1,0,0,0,0,33.33
408,DJ Muthuswami,115,2,1,0,0,0,0,33.33
409,AS Rajpoot,112,5,0,1,0,0,0,33.33
410,TD Paine,109,19,10,0,0,0,0,34.48
411,S Nadeem,108,44,14,3,0,1,0,38.71
412,PP Ojha,106,30,14,1,0,0,0,35.56
413,DP Nannes,106,9,4,0,0,0,0,30.77
414,Shoaib Akhtar,96,6,2,0,0,0,0,25.0
415,RS Gavaskar,96,6,2,0,0,0,0,25.0
416,A Singh,84,8,2,0,0,0,0,20.0
417,Shoaib Ahmed,79,5,1,0,0,0,0,16.67
418,Mohammad Ashraful,75,10,2,0,0,0,0,16.67
419,V Pratap Singh,49,1,0,0,0,0,0,0.0
420,U Kaul,49,1,0,0,0,0,0,0.0
421,M Ashwin,49,1,0,0,0,0,0,0.0
422,C Nanda,49,1,0,0,0,0,0,0.0
423,Swapnil Singh,49,1,0,0,0,0,0,0.0
424,YA Abdulla,49,1,0,0,0,0,0,0.0
425,A Zampa,49,1,0,0,0,0,0,0.0
426,Sunny Gupta,49,1,0,0,0,0,0,0.0
427,Sandeep Sharma (1),49,1,0,0,0,0,0,0.0
428,S Kaushik,49,1,0,0,0,0,0,0.0
429,Abdur Razzak,48,2,0,0,0,0,0,0.0
430,L Ablish,48,2,0,0,0,0,0,0.0
431,RR Bhatkal,48,2,0,0,0,0,0,0.0
432,IC Pandey,48,2,0,0,0,0,0,0.0
433,PJ Cummins,48,2,0,0,0,0,0,0.0
434,S Ladda,40,10,0,0,0,0,0,0.0
435,ND Doshi,37,13,0,0,0,0,0,0.0
